award_id,country_loc1,country_loc2,country_loc3,country_loc4,country_loc5,framework_1,framework_2,framework_3,framework_4,framework_5,framework_6,framework_7,framework_8,framework_9,framework_10,framework_11,framework_12,framework_13,framework_14,framework_15,framework_16,framework_17,framework_18,framework_19,framework_20,framework_21,framework_22,framework_23,framework_24,framework_96,award_mech,cont_start,total_budget_plan,construct_budget_plan,cor_sitevisit_oe,subaward_id,sub_stat,construct_budget_plan_pk_oe,activity_total_sub,conflict_total_sub,conflict_status_sub,conflict_status_award,reg,field,const_budget,pct_construct,pct_construct_bnd,award_activity_tot,catcon1,catnot1,catunk1,catcon2,catnot2,catunk2,catcon3,catnot3,catunk3,catcon4,catnot4,catunk4,catcon5,catnot5,catunk5,catcon6,catnot6,catunk6,catcon7,catnot7,catunk7,catcon8,catnot8,catunk8,catcon9,catnot9,catunk9,catcon10,catnot10,catunk10,catcon11,catnot11,catunk11,catcon12,catnot12,catunk12,disaby1,disabn1,disabdk1,disaby2,disabn2,disabdk2,disaby3,disabn3,disabdk3,disaby4,disabn4,disabdk4,at1,at2,at3,at4,at5,at6,at7,at8,at9,at10,at11,at12,tp1,tp2,tp3,tp4,tp5,tp6,tp7,tp8,tp9,tp10,tp11,tp12,loc1,loc2,loc3,loct,modal,rework,reworkprob,regnum,lrgawrd,omfund_avail2,millplus,post,dcha,subaward_activity_tot
357,30,-6,-6,-6,-6,,,,,,,,,,,,,,,,,1,,,,,,,,,5,01may2012,7162904,7162904,6,1,1,,1,0,0,0,3,1,3,100,1,1,0,0,24,0,0,2,0,0,4,0,0,18,0,0,29,0,0,7,0,0,22,0,1,33,0,0,4,0,0,12,0,1,12,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,1,,0,0,0,0,2,0,0,30,0,1,1,1,0,4082
359,30,-6,-6,-6,-6,,,,,,,,,,,,,,,,,1,,,,,,,,,6,01nov2011,7116563,7078305,6,2,2,7078305,1,0,0,0,3,1,3,99.46241,1,1,0,0,24,0,0,2,0,0,4,0,0,18,0,0,29,0,0,7,0,0,22,0,1,33,0,0,4,0,0,12,0,1,12,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,1,,0,0,0,0,1,0,0,30,0,1,1,0,0,4082
361,30,-6,-6,-6,-6,,,,,,,,,,,,,,,,,1,,,,,,,,,5,01sep2012,10994826,10994826,6,3,5,,1,0,0,0,3,1,4,100,1,1,0,0,24,0,0,2,0,0,4,0,0,18,0,0,29,0,0,7,0,0,22,0,1,33,0,0,4,0,0,12,0,1,12,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,1,,0,0,0,0,2,0,0,30,0,1,1,1,0,4082
363,30,-6,-6,-6,-6,,,,,,,,,,,,,,,,,1,,,,,,,,,5,01mar2012,9720333,9720333,4,4,1,9720333,1,0,0,0,3,1,3,100,1,1,0,0,24,0,0,2,0,0,4,0,0,18,0,0,29,0,0,7,0,0,22,0,1,33,0,0,4,0,0,12,0,1,12,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,1,,0,0,0,0,2,0,0,30,0,1,1,0,0,4082
365,30,-6,-6,-6,-6,,,,,,,,,,,,,,,,,1,,,,,,,,,1,01sep2012,17699600,17699600,15,5,,,1,0,0,0,3,1,4,100,1,1,0,0,24,0,0,2,0,0,4,0,0,18,0,0,29,0,0,7,0,0,22,0,1,33,0,0,4,0,0,12,0,1,12,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,1,,0,0,0,0,4,0,0,30,0,1,1,1,0,4082
367,30,-6,-6,-6,-6,,,,,,,,,,,,,1,,,,1,,,,,,,,,6,01feb2011,52000000,49000000,30,6,5,,2,0,0,0,3,1,4,94.230766,1,2,0,0,24,0,0,2,0,0,4,0,0,18,0,0,29,0,0,7,0,0,22,0,1,33,0,0,4,0,1,11,0,0,13,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,,,,,1,1,,1,,1,,,0,0,2,2,1,0,0,30,0,1,1,0,0,4082
369,30,-6,-6,-6,-6,,,,,,,,,,,,,,,,,1,,,,,,,,,6,01feb2011,35000000,35000000,24,7,5,,4,0,0,0,3,1,4,100,1,4,0,1,23,0,0,2,0,0,4,0,1,17,0,0,29,0,0,7,0,0,22,0,2,32,0,2,2,0,0,12,0,0,13,0,0,20,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,3,3,0,0,0,1,,,1,,,,1,1,,,,1,1,1,3,1,0,0,30,0,1,1,0,0,4082
375,30,-6,-6,-6,-6,,,,,,,,,,,,,,,,,,,1,,,1,,,,1,01apr2011,20473320,75000,20,8,5,,2,0,0,0,3,1,1,.36633042,4,2,0,1,23,0,0,2,0,0,4,0,1,17,0,0,29,0,0,7,0,0,22,0,0,34,0,0,4,0,0,12,0,0,13,0,0,20,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,,,1,,,,,,,,,0,0,2,2,4,0,0,30,0,3,0,0,0,4082
377,30,-6,-6,-6,-6,,,,,,,,1,,,,,,,,,,,,,,,,,,1,01feb2011,16193008,200000,0,9,5,,1,0,0,0,3,1,1,1.235101,4,1,0,1,23,0,0,2,0,0,4,0,1,17,0,0,29,0,0,7,0,0,22,0,0,34,0,0,4,0,0,12,0,0,13,0,0,20,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,,,1,,,,,,,,,0,0,1,1,4,0,0,30,0,4,0,0,0,4082
381,30,-6,-6,-6,-6,,,,,,,,,,,,1,1,,,,,,,,,,,,,4,01jul2010,12899378,13731905,36,23,5,,1,0,0,0,3,1,4,,,41,0,1,23,0,1,1,0,0,4,0,0,18,0,0,29,0,0,7,0,0,22,0,0,34,0,0,4,0,0,12,0,0,13,0,0,20,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,0,0,1,1,7,0,0,30,0,2,1,0,0,4082
