,Variable Name,Variable Label,Variable Type
0,award_id,RespondentID,Integer
491,framework_1,1.1 Counter Terrorism,Numeric
492,framework_2,1.2 Combating WMD,Numeric
493,framework_3,1.3 Stabilization Operations and Defense Reform,Numeric
494,framework_4,1.4 Counter-narcotics,Numeric
495,framework_5,1.5 Transnational Crime,Numeric
496,framework_6,1.6 Conflict Mitigation and Response,Numeric
497,framework_7,2.1 Rule of Law and Human Rights,Numeric
498,framework_8,2.2 Good Governance,Numeric
499,framework_9,2.3 Political Competition and Consensus-Building,Numeric
500,framework_10,2.4 Civil Society,Numeric
501,framework_11,3.1 Health,Numeric
502,framework_12,3.2 Education,Numeric
503,framework_13,3.3 Social Services and Protection for Vulnerable Populations,Numeric
504,framework_14,4.1 Macroeconomic Foundation for Growth,Numeric
505,framework_15,4.2 Trade and Investment,Numeric
506,framework_16,4.3 Financial Sector,Numeric
507,framework_17,4.4 Infrastructure,Numeric
508,framework_18,4.5 Agriculture,Numeric
509,framework_19,4.6 Private Sector Competitiveness,Numeric
510,framework_20,4.7 Economic Opportunity,Numeric
511,framework_21,4.8 Environment,Numeric
512,framework_22,"5.1 Protection, Assistance and Solutions",Numeric
513,framework_23,5.2 Disaster Readiness,Numeric
514,framework_24,5.3 Migration Management,Numeric
515,framework_96,Don't know,Numeric
526,cont_start,What was the start date of the award? Please enter in format MM/YYYY.,Integer
527,total_budget_plan,What was the original award budget for all activities (including non-constructio,double
528,construct_budget_plan,"Within the original award budget above, please provide an estimate of the amount",double
529,cor_sitevisit_oe,COR_SITEVISIT_OE,Numeric
530,subaward_id,SUBAWARD_ID,Integer
541,construct_budget_plan_pk_oe,CONSTRUCT_BUDGET_PLAN_PK_OE,double
577,pct_construct,Percent Construction of Total Budget (%),Numeric
584,catcon1,see notes,Numeric
585,catnot1,see notes,Numeric
586,catunk1,see notes,Numeric
587,catcon2,build_ss_conflict_1 build_ms_conflict_1 == 1,Numeric
588,catnot2,build_ss_conflict_1 build_ms_conflict_1 == 0,Numeric
589,catunk2,build_ss_conflict_1 build_ms_conflict_1 == 2,Numeric
590,catcon3,see notes,Numeric
591,catnot3,see notes,Numeric
592,catunk3,see notes,Numeric
593,catcon4,see notes,Numeric
594,catnot4,see notes,Numeric
595,catunk4,see notes,Numeric
596,catcon5,see notes,Numeric
597,catnot5,see notes,Numeric
598,catunk5,see notes,Numeric
599,catcon6,see notes,Numeric
600,catnot6,see notes,Numeric
601,catunk6,see notes,Numeric
