,award_id,region,award_name,start,reason_refusal,projname_conf,projname_conf_oe,award_no_conf,award_no_conf_oe,proj_phase,con_phase,country_loc1,country_loc2,country_loc3,country_loc4,country_loc5,country_additional,sponsoroff,sponsoroff_oe,missionoff,wauoff_bureaus,wauoff_office,framework,framework_1,framework_2,framework_3,framework_4,framework_5,framework_6,framework_7,framework_8,framework_9,framework_10,framework_11,framework_12,framework_13,framework_14,framework_15,framework_16,framework_17,framework_18,framework_19,framework_20,framework_21,framework_22,framework_23,framework_24,framework_96,ecd_num,ecd_num_oe,ecdnum_spc,award_mech,grnt_cntrct,implm_assess,assess_who,assess_who_1,assess_who_2,assess_who_3,assess_who_3_oe,assess_who_4,assess_who_4_oe,assess_who_5,assess_who_6,assess_who_6_oe,access_proc_old,access_proc1,access_proc1_1,access_proc2,access_proc2_2,access_proc3,access_proc3_3,access_proc5,access_proc5_5,access_proc4,access_proc4_4,access_proc6,access_proc6_6,access_proc7,access_proc7_7,access_proc8,access_proc8_96,access_proc9,access_proc9_9,access_proc9_9_oe,assess_outcome,enab_env_support,enab_env_type,enab_env_type_1,enab_env_type_2,enab_env_type_3,enab_env_type_4,enab_env_type_5,enab_env_type_6,enab_env_type_7,enab_env_type_8,enab_env_type_9,enab_env_type_10,enab_env_type_10_oe,cap_build,cap_build_oe,omfund_avail,omfund_avail_oe,om_outcome,omfund_con,omfund_con_1,omfund_con_2,omfund_con_3,omfund_con_4,omfund_con_5,omfund_con_6,omfund_con_9,omfund_con_10,omfund_con_10_oe,omfund_con_96,omfund_con_7,omfund_con_8,om_contin,om_contin_1,om_contin_2,om_contin_3,om_contin_4,om_contin_5,om_contin_6,om_contin_6_oe,om_contin_96,om_contin_0,cert_use,gender,risk_reg,gov_consult,gov_consult_who,gov_consult_who_1,gov_consult_who_2,gov_consult_who_3,gov_consult_who_4,gov_consult_who_4_oe,stkh_consult,stkh_consult_who,stkh_consult_who_1,stkh_consult_who_2,stkh_consult_who_3,stkh_consult_who_4,stkh_consult_who_4_oe,site_apprv,site_apprv_who,site_apprv_who_1,site_apprv_who_2,site_apprv_who_3,site_apprv_who_4,site_apprv_who_4_oe,secinfra,crb_rev,usg_tech,tech_who,tech_who_1,tech_who_2,tech_who_3,tech_who_4,tech_who_5,tech_who_6,tech_who_6_oe,tech_who_7,award_std,award_type,award_type_oe,far16,far16_type,contrct_sup,con_noncon,con_divide,far36_523,far36_matrix,far36_53,dlp,dlp_oe,des_std_award,des_std_award_1,des_std_award_2,des_std_award_3,des_std_award_4,des_std_award_5,des_std_award_6,des_std_award_7,des_std_award_8,des_std_award_9,des_std_award_9_oe,des_std_award_96,hazard_matl,hazard_matl_oe,hazard_matl_bs,hazard_matl_bs_1,hazard_matl_bs_2,hazard_matl_bs_3,hazard_matl_bs_96,hazard_matl_bs_4,hazard_matl_bs_4_oe,seis_des,seis_des_std,seis_des_std_1,seis_des_std_2,seis_des_std_3,seis_des_std_4,seis_des_std_5,seis_des_std_6,seis_des_std_7,seis_des_std_8,seis_des_std_9,seis_des_std_9_oe,seis_des_std_96,seis_cat,seis_cat_oe,hur_des,flood_des,wind_std,wind_std_1,wind_std_2,wind_std_3,wind_std_4,wind_std_4_oe,wind_std_96,wind_std_5,gov_est,est_prep,est_prep_oe,est_basis,cost_rev,cost_rev_oe,cor_app,gov_sched,est_sched_prep,est_sched_prep_oe,usg_inc,usg_inc_oe,cost_ben_analy,return_rate,return_rate_oe,build_cost,prime_comp,prime_stat,prime_stat_oe,finstat,bonding,cont_start,cont_end_plan,total_budget_plan,construct_budget_plan,award_amd,lic_app,lic_app_oe,mod_no,mod_des_1,mod_des_1_1,mod_des_1_2,mod_des_1_3,mod_des_1_4,mod_des_1_5,mod_des_1_6,mod_des_1_7,mod_des_1_8,mod_des_1_9,mod_des_1_10,mod_des_1_11,mod_des_1_12,mod_des_1_13,mod_des_1_13_oe,mod_des_1_96,mod_value_1,mod_des_2,mod_des_2_1,mod_des_2_2,mod_des_2_3,mod_des_2_4,mod_des_2_5,mod_des_2_6,mod_des_2_7,mod_des_2_8,mod_des_2_9,mod_des_2_10,mod_des_2_11,mod_des_2_12,mod_des_2_13,mod_des_2_13_oe,mod_des_2_96,mod_value_2,mod_des_3,mod_des_3_1,mod_des_3_2,mod_des_3_3,mod_des_3_4,mod_des_3_5,mod_des_3_6,mod_des_3_7,mod_des_3_8,mod_des_3_9,mod_des_3_10,mod_des_3_11,mod_des_3_12,mod_des_3_13,mod_des_3_13_oe,mod_des_3_96,mod_value_3,mod_des_4,mod_des_4_1,mod_des_4_2,mod_des_4_3,mod_des_4_4,mod_des_4_5,mod_des_4_6,mod_des_4_7,mod_des_4_8,mod_des_4_9,mod_des_4_10,mod_des_4_11,mod_des_4_12,mod_des_4_13,mod_des_4_13_oe,mod_des_4_96,mod_value_4,mod_des_5,mod_des_5_1,mod_des_5_2,mod_des_5_3,mod_des_5_4,mod_des_5_5,mod_des_5_6,mod_des_5_7,mod_des_5_8,mod_des_5_9,mod_des_5_10,mod_des_5_11,mod_des_5_12,mod_des_5_13,mod_des_5_13_oe,mod_des_5_96,mod_value_5,mod_des_6,mod_des_6_1,mod_des_6_2,mod_des_6_3,mod_des_6_4,mod_des_6_5,mod_des_6_6,mod_des_6_7,mod_des_6_8,mod_des_6_9,mod_des_6_10,mod_des_6_11,mod_des_6_12,mod_des_6_13,mod_des_6_13_oe,mod_des_6_96
0,357,Georgia,AID-114-C-12-00006,1,,1,,1,,3,4,30,-6,-6,-6,-6,,1,,53,,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,-8,-8,-8,-8,-8,-8,-8,-8,1,DCN: 2011-GEO-013,,5,-8,1,-8,1,-8,-8,,-8,,-8,-8,,-6,-6,-8,-6,-8,-6,-8,-8,1,-6,-8,-8,-8,-8,-8,-6,-8,-8,1,611(e) for GOGC,1,0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,,1,,-8,-8,1,1,-8,1,-8,-8,-8,-8,,-8,-8,-8,-8,1,-8,-8,-8,-8,-8,,-8,-8,1,1,1,1,-8,1,-8,-8,-8,,1,-8,1,-8,1,1,Land Owners,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,0,-8,,-8,-8,-8,-8,-8,-8,-8,-8,1,365,-8,-8,-8,1,-8,-8,-8,-8,-8,1,GOST,-8,0,Does not apply,-8,-8,-8,-8,-8,-8,,1,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,GOST,-8,-1,,0,1,-8,-8,-8,-8,-8,,-8,1,1,5,,1,1,,1,1,5,,-8,,3,1,46,-8,5,-8,,-8,0,01may2012,01jun2013,7162904.0,7162904.0,0,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8
1,359,Georgia,AID-114-C-12-00001,1,,1,,1,,3,4,30,-6,-6,-6,-6,,1,,53,,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,-8,-8,-8,-8,-8,-8,-8,-8,1,DCN: 2011-GEO-013,,6,-8,1,-8,1,-8,-8,,-8,,-8,-8,,-6,-6,-8,-6,-8,-6,-8,-8,1,-6,-8,-8,-8,-8,-8,-6,-8,-6,-8,,1,0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,,1,,-8,-8,1,1,-8,1,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,1,1,1,1,1,-8,1,-8,-8,-8,,1,-8,1,-8,1,1,Land Owners,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,1,-8,-8,-8,-8,-8,1,GOST,-8,0,Not Applicable,-8,-8,-8,-8,-8,-8,,1,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,GOST,-8,-1,,0,1,-8,-8,-8,1,1,GOST,-8,-8,1,5,,1,1,,1,1,5,,-8,,3,1,46,-8,-8,-8,,-8,-8,01nov2011,01mar2012,7116563.0,-8.0,0,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8
2,361,Georgia,AID-114-C-12-00008,1,,1,,1,,3,2,30,-6,-6,-6,-6,,1,,53,,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,-8,-8,-8,-8,-8,-8,-8,-8,1,DCN:2011-GEO-028,,5,-8,1,-8,1,-8,-8,,-8,,-8,-8,,-6,-6,-8,-6,-8,-6,-8,-8,1,-6,-8,-8,-8,-8,-8,-6,-8,-6,-8,,1,0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,,1,,-8,-8,1,1,-8,1,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,1,-1,1,1,-8,1,-8,-8,-8,,1,-8,1,-8,1,1,Land Owners,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,0,-8,,-8,-8,-8,-8,-8,-8,-8,-8,1,365,-8,-8,-8,1,-8,-8,-8,-8,-8,1,GOST,-8,-1,,-8,-8,-8,-8,-8,-8,,1,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,GOST,-8,-1,,0,1,-8,-8,-8,-8,-8,,-8,1,1,10,,1,8,,1,1,8,,-8,,3,1,46,-8,4,-8,,-8,0,01sep2012,01nov2013,10994826.0,10994826.0,0,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8
3,363,Georgia,AID-114-C-12-00003,1,,1,,1,,3,4,30,-6,-6,-6,-6,,1,,53,,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,-8,-8,-8,-8,-8,-8,-8,-8,1,DCN: 2011-GEO-028,,5,-8,1,-8,1,-8,-8,,-8,,-8,-8,,-6,-6,-8,-6,-8,-6,-8,-8,1,-6,-8,-8,-8,-8,-8,-6,-8,-6,-8,,1,0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,,1,,-8,-8,1,1,-8,1,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,1,-1,1,1,-8,1,-8,-8,-8,,1,-8,1,-8,1,1,Land Owners,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,0,-8,,-8,-8,-8,-8,-8,-8,-8,-8,1,365,-8,-8,-8,1,-8,-8,-8,-8,-8,1,GOST,-8,-1,,-8,-8,-8,-8,-8,-8,,1,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,GOST,-8,-1,,0,1,-8,-8,-8,-8,-8,,-8,1,1,5,,1,8,,1,1,5,,-8,,3,1,46,-8,4,-8,,-8,0,01mar2012,01jul2012,9720333.0,-8.0,0,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8
4,365,Georgia,AID-114-C-12-00007,1,,1,,1,,2,2,30,-6,-6,-6,-6,,1,,53,,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,-8,-8,-8,-8,-8,-8,-8,-8,1,2012-GEO-004,,1,0,1,-8,1,-8,-8,,-8,,-8,-8,,-6,-8,-8,-8,-8,-8,-8,-8,1,-6,-8,-8,-8,-8,-8,-6,-8,-6,-8,,1,0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,,1,,-8,-8,-8,-8,-8,1,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,1,1,-1,1,-8,1,-8,-8,1,State Transmission system operator of Georgia,1,-8,1,-8,1,-8,,1,-8,-8,-8,-8,1,State Electric System Authority,0,0,0,-8,-8,-8,-8,-8,-8,-8,,-8,0,-8,,-8,-8,-8,-8,-8,-8,-8,-8,0,,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,GOST,-8,1,,-8,-8,1,-8,-8,-8,,1,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,1,-1,,0,1,-8,-8,-8,1,-8,,-8,-8,1,10,,5,5,,1,1,5,,0,,3,1,15,-8,1,-8,,1,1,01sep2012,01oct2013,17699600.0,17699600.0,1,5,,1,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,Extending time to get the performance bond,-8,0.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8
5,367,Georgia,Assistance Agreement # AAG-1 14 -G-10-002;Implementation Letter#:114-11-IL-003,1,,1,,1,,2,2,30,-6,-6,-6,-6,,1,,53,,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,-8,-8,-8,1,-8,-8,-8,-8,-8,-8,-8,-8,1,2010-GEO-033,,6,-8,1,-8,1,-8,-8,,-8,,-8,-8,,-6,-8,1,-6,-8,-6,-8,-8,1,-8,1,-8,-8,-8,-8,-6,-8,-6,-8,,1,1,-8,-8,-8,1,-8,1,-8,1,-8,-8,-8,,0,,1,,-8,-8,-8,1,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,1,1,1,1,-8,1,1,-8,-8,,1,-8,1,-8,-8,-8,,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,1,-8,-8,-8,-8,-8,1,Specified US Regulations (CFR 216),-8,1,,-8,1,1,-8,-8,-8,,0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,,0,0,-8,-8,-8,-8,-8,,-8,1,1,9,,1,10,,1,1,9,,-8,,1,-8,,1,-8,-8,,-8,-8,01feb2011,01dec2013,52000000.0,49000000.0,0,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8
6,369,Georgia,Assistance Agreement # AAG-1 14 -G-10-002;Implementation Letter#:114-11-IL-004,1,,1,,1,,2,2,30,-6,-6,-6,-6,,1,,53,,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,-8,-8,-8,-8,-8,-8,-8,-8,1,2010-GEO-021,,6,-8,1,-8,1,-8,-8,,-8,,-8,-8,,-6,-8,1,-6,-8,-6,-8,-6,-8,-8,1,-8,-8,-8,-8,-6,-8,-6,-8,,1,1,-8,-8,-8,1,-8,1,-8,-8,-8,-8,-8,,0,,1,,-8,-8,-8,1,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,1,0,1,1,-8,1,1,1,-8,,1,-8,1,-8,-8,-8,,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,1,-8,-8,-8,-8,-8,1,Included CFR 216 Env. Standards,-8,1,,-8,-8,1,1,-8,-8,,0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,,0,0,-8,-8,-8,1,1,International,-8,-8,1,9,,1,10,,1,-1,-8,,-8,,1,-8,,0,-8,-8,,-8,-8,01feb2011,01dec2013,35000000.0,35000000.0,0,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8
7,375,Georgia,AID-114-C-11-00001,1,,0,New Economic Opportunities Initiative (NEO),1,,2,2,30,-6,-6,-6,-6,,1,,53,,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,-8,-8,1,-8,-8,-8,1,2010-GEO-057,,1,1,1,-8,1,-8,-8,,-8,,-8,-8,,-6,-8,-8,-8,-8,-8,-8,-6,-8,-6,-8,-8,-8,-6,-8,-6,-8,-6,-8,,1,1,-8,-8,-8,-8,-8,-8,-8,1,-8,1,-8,,1,Indirect support,3,local municipality and community,-8,-8,1,1,1,-8,-8,1,-8,-8,,-8,1,1,-8,1,-8,1,1,1,-8,,-8,-8,0,1,0,1,-8,1,1,1,-8,,1,-8,1,1,1,-8,,1,-8,-8,-8,1,-8,,1,1,0,-8,-8,-8,-8,-8,-8,-8,,-8,0,-8,,-8,-8,-8,-8,-8,-8,-8,-8,0,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,1,1,,-8,-8,1,1,-8,-8,,-1,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,,-1,-1,-8,-8,-8,-8,-8,,1,-8,1,1,,3,1,,0,-1,-8,,-1,,2,-1,,-8,1,-8,,-1,-1,01apr2011,01apr2015,20473320.0,75000.0,0,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8
8,377,Georgia,AID-114-TO-11-00001,1,,1,,1,,2,2,30,-6,-6,-6,-6,,1,,53,,,-8,-8,-8,-8,-8,-8,-8,-8,1,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-1,,Do not know,1,1,-1,-8,-8,-8,-8,,-8,,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-1,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,,-1,,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,none,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-1,-1,-1,0,-8,-8,-8,-8,-8,,0,-8,-8,-8,-8,-8,,0,-8,-8,-8,-8,-8,,0,-1,-1,-6,-8,-8,-8,-8,-8,-8,,-8,-1,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-1,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,1,-1,,-8,-8,-8,-8,-8,-8,,-1,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,,0,-1,-8,-8,-8,-8,-8,,1,-8,-1,-8,,-8,-8,,-8,-1,-8,,-1,,-1,-8,,-8,3,-8,,-1,-1,01feb2011,01mar2014,16193008.0,200000.0,0,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8
9,381,Georgia,AID-114-A-10-00003,1,,1,,1,,3,4,30,-6,-6,-6,-6,,1,,53,,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,1,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,2010-GEO-001,,4,-8,0,-8,-8,-8,-8,,-8,,-8,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,,2,,-8,-8,1,-8,-8,-8,-8,-8,-8,-8,,-8,-8,-8,-8,1,-8,-8,-8,1,-8,,-8,-8,0,1,1,1,-8,1,1,1,-8,,0,-8,-8,-8,-8,-8,,1,-8,1,-8,-8,-8,,0,0,0,-8,-8,-8,-8,-8,-8,-8,,-8,0,-8,,-8,-8,-8,-8,-8,-8,-8,-8,0,,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,Not specified,-8,1,,-8,1,1,-8,-8,-8,,0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8,,0,0,-8,-8,-8,1,1,ADA,-8,-8,1,2,,3,1,,1,0,-8,,-8,,-1,-8,,-8,1,-8,,-8,0,01jul2010,01oct2011,12899378.0,12899378.0,0,-8,,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,,-8
