,Variable Name,Variable Label,Variable Type
0,award_id,RespondentID,Integer
1,region,Region,String
2,award_name,Award No,String
6,reason_refusal,Reason why choosing not to continue at this time,String
10,projname_conf_oe,PROJNAME_CONF_OE,String
14,award_no_conf_oe,AWARD_NO_CONF_OE,String
514,country_additional,Additional countries:,String
520,sponsoroff_oe,SPONSOROFF_OE,String
610,wauoff_bureaus,WAUOFF_Bureaus,String
611,wauoff_office,WAUOFF_Office,String
612,framework,What is the F Framework program area? Select all that apply.,Integer
613,framework_1,1.1 Counter Terrorism,Numeric
614,framework_2,1.2 Combating WMD,Numeric
615,framework_3,1.3 Stabilization Operations and Defense Reform,Numeric
616,framework_4,1.4 Counter-narcotics,Numeric
617,framework_5,1.5 Transnational Crime,Numeric
618,framework_6,1.6 Conflict Mitigation and Response,Numeric
619,framework_7,2.1 Rule of Law and Human Rights,Numeric
620,framework_8,2.2 Good Governance,Numeric
621,framework_9,2.3 Political Competition and Consensus-Building,Numeric
622,framework_10,2.4 Civil Society,Numeric
623,framework_11,3.1 Health,Numeric
624,framework_12,3.2 Education,Numeric
625,framework_13,3.3 Social Services and Protection for Vulnerable Populations,Numeric
626,framework_14,4.1 Macroeconomic Foundation for Growth,Numeric
627,framework_15,4.2 Trade and Investment,Numeric
628,framework_16,4.3 Financial Sector,Numeric
629,framework_17,4.4 Infrastructure,Numeric
630,framework_18,4.5 Agriculture,Numeric
631,framework_19,4.6 Private Sector Competitiveness,Numeric
632,framework_20,4.7 Economic Opportunity,Numeric
633,framework_21,4.8 Environment,Numeric
634,framework_22,"5.1 Protection, Assistance and Solutions",Numeric
635,framework_23,5.2 Disaster Readiness,Numeric
636,framework_24,5.3 Migration Management,Numeric
637,framework_96,Don't know,Numeric
642,ecd_num_oe,ECD_NUM_OE,String
643,ecdnum_spc,Please specify the reason there is no ECD number is available:,String
663,assess_who,Who carried out the capacity assessment? Check all that apply.,Integer
664,assess_who_1,USAID,Numeric
665,assess_who_2,Awardee self-assessment,Numeric
666,assess_who_3,"Other USG, Specify",Numeric
667,assess_who_3_oe,ASSESS_WHO_3_OE,String
668,assess_who_4,"Other donor, Specify",Numeric
669,assess_who_4_oe,ASSESS_WHO_4_OE,String
670,assess_who_5,Host Country Government,Numeric
671,assess_who_6,"Other, Specify",Numeric
672,assess_who_6_oe,ASSESS_WHO_6_OE,String
673,access_proc_old,What process(es) were used to assess the capacity of the implementing partner? S,Integer
674,access_proc1,ACCESS_PROC1,Integer
675,access_proc1_1,Public Financial Management Risk Assessment Framework (PFMRAF) Stage 2 Risk Asse,Numeric
676,access_proc2,ACCESS_PROC2,Integer
677,access_proc2_2,Assurance under ADS 317,Numeric
678,access_proc3,ACCESS_PROC3,Integer
679,access_proc3_3,Certification under ADS301/305,Numeric
680,access_proc5,ACCESS_PROC5,Integer
