,Variable Name,Variable Label,Variable Type
0,region,Region,String
1,award_id,Award ID,Integer
2,subaward_id,SUBAWARD_ID,Integer
3,subaward_name,Subaward Name,String
4,bucket_risk_cat,Bucket_risk_cat,String
5,category,Category,String
6,construct_type,What types of construction were/are included in this sub-award? Please check all,Integer
7,construct_type_1,"Transportation (roads, bridges, rail beds, ports, etc.)",Numeric
8,construct_type_2,"Buildings (new construction, renovation, and/or repair; includes airport termina",Numeric
9,construct_type_3,"Water/wastewater facilities (potable water distribution, water treatment plants,",Numeric
10,construct_type_4,"Energy related facilities (carbon-based, solar and wind, electrical and natural ",Numeric
11,construct_type_5,"Telecommunication facilities (cell towers, antennae, switching stations)",Numeric
12,construct_type_6,"Solid waste management facilities (landfills, transfer stations, recycling cente",Numeric
13,construct_type_7,"Water resources facilities (dams, irrigation systems, includes hydroelectric dam",Numeric
14,construct_type_8,Water storage/rainwater catchment systems (below or on-ground cisterns/water cat,Numeric
15,construct_type_9,"Other construction activities (non-building cultural heritage sites, market or o",Numeric
19,roadway_type,"For roadway construction under the sub-award, please select all that apply and p",Integer
20,roadway_type_1,"Concrete, 4 or more lanes",Numeric
21,roadway_type_2,"Concrete, 2 lanes",Numeric
22,roadway_type_3,"Asphalt, 4 or more lanes",Numeric
23,roadway_type_4,"Asphalt, 2 or more lanes",Numeric
24,roadway_type_7,Other (specify):,String
25,roadway_type_7_oe,ROADWAY_TYPE_7_OE,String
26,roadway_type_5,"Gravel, 2 lanes",Numeric
27,roadway_type_6,"Dirt, 2 lanes",Numeric
41,roadway_plan_segments_1,Type 1: ##ROADWAY_TYPE-RC## Planned number of segments (by location),Numeric
42,roadway_plan_segments_1_1,Urban,Numeric
43,roadway_plan_segments_1_1_oe,ROADWAY_PLAN_SEGMENTS_1_1_OE,Numeric
44,roadway_plan_segments_1_2,Rural,Numeric
45,roadway_plan_segments_1_2_oe,ROADWAY_PLAN_SEGMENTS_1_2_OE,Numeric
46,roadway_plan_segments_1_96,Don't Know,Numeric
47,roadway_actual_segments_1,Type 1: ##ROADWAY_TYPE-RC## Actual(if complete)/ Estimated (if ongoing) number o,Numeric
48,roadway_actual_segments_1_1,Urban,Numeric
49,roadway_actual_segments_1_1_oe,ROADWAY_ACTUAL_SEGMENTS_1_1_OE,Numeric
50,roadway_actual_segments_1_2,Rural,Numeric
51,roadway_actual_segments_1_2_oe,ROADWAY_ACTUAL_SEGMENTS_1_2_OE,Numeric
52,roadway_actual_segments_1_96,Don't Know,Numeric
53,roadway_planned_km_1,Type 1:Planned total km,Numeric
54,roadway_planned_km_1_1,Urban,Numeric
55,roadway_planned_km_1_1_oe,ROADWAY_PLANNED_KM_1_1_OE,Numeric
56,roadway_planned_km_1_2,Rural,Numeric
57,roadway_planned_km_1_2_oe,ROADWAY_PLANNED_KM_1_2_OE,Numeric
58,roadway_planned_km_1_96,Don't Know,Numeric
59,roadway_actual_km_1,Type 1: Actual/Estimated total km,Numeric
60,roadway_actual_km_1_1,Urban,Numeric
61,roadway_actual_km_1_1_oe,ROADWAY_ACTUAL_KM_1_1_OE,Numeric
62,roadway_actual_km_1_2,Rural,Numeric
63,roadway_actual_km_1_2_oe,ROADWAY_ACTUAL_KM_1_2_OE,Numeric
64,roadway_actual_km_1_96,Don't know,Numeric
68,roadway_plan_life_1_oe,ROADWAY_PLAN_LIFE_1_OE,Numeric
72,roadway_est_life_1_oe,ROADWAY_EST_LIFE_1_OE,Numeric
80,roadway_rework_req_1_oe,ROADWAY_REWORK_REQ_1_OE,Numeric
81,roadway_gps_1_file,Type 1: ROADWAY_GPS : File,Numeric
82,roadway_gps_1_gpscoordinates,Type 1: ROADWAY_TYPE-RC GPS coordinates for all related construction structures ,Numeric
83,roadway_gps_1_refusalmsg,Type 1: ROADWAY_GPS : Refusal Message,Numeric
97,roadway_plan_segments_2,Type 2: ##ROADWAY_TYPE-RC## Planned number of segments (by location),Numeric
98,roadway_plan_segments_2_1,Urban,Numeric
99,roadway_plan_segments_2_1_oe,ROADWAY_PLAN_SEGMENTS_2_1_OE,Numeric
100,roadway_plan_segments_2_2,Rural,Numeric
101,roadway_plan_segments_2_2_oe,ROADWAY_PLAN_SEGMENTS_2_2_OE,String
102,roadway_plan_segments_2_96,Don't Know,Numeric
103,roadway_actual_segments_2,Type 2: ##ROADWAY_TYPE-RC## Actual(if complete)/ Estimated (if ongoing) number o,Numeric
104,roadway_actual_segments_2_1,Urban,Numeric
105,roadway_actual_segments_2_1_oe,ROADWAY_ACTUAL_SEGMENTS_2_1_OE,Numeric
106,roadway_actual_segments_2_2,Rural,Numeric
